Business Name,Phone,Address,Website,Email,Rating,Review Count,Years in Biz,Category,Niche,Location
"Apex Plumbing & Drain","(214) 555-0142","4821 Oak Lawn Ave, Dallas, TX 75219","https://apexplumbingdallas.com","info@apexplumbingdallas.com","4.8","127","6","Plumbers","Plumbers","Dallas, TX"
"QuickFix Plumbers","(214) 555-0289","1103 Commerce St, Dallas, TX 75202","https://quickfixplumbers.com","contact@quickfixplumbers.com","4.2","43","3","Plumbers","Plumbers","Dallas, TX"
"Texas Pro Plumbing","(972) 555-0317","9200 E R L Thornton Fwy, Dallas, TX 75228","","","3.6","18","2","Plumbers","Plumbers","Dallas, TX"
"AllStar HVAC Services","(214) 555-0491","6700 Preston Rd Ste 200, Dallas, TX 75205","https://allstarhvacdallas.com","service@allstarhvacdallas.com","4.9","256","11","HVAC Contractors","HVAC Contractors","Dallas, TX"
"DFW Climate Control","(972) 555-0543","3300 Harry Hines Blvd, Dallas, TX 75201","https://dfwclimatecontrol.net","","4.5","89","5","HVAC Contractors","HVAC Contractors","Dallas, TX"
"Cool Breeze Air & Heat","(469) 555-0612","2140 Empire Central Dr, Dallas, TX 75235","","","2.9","7","1","HVAC Contractors","HVAC Contractors","Dallas, TX"
"Summit Roofing Co.","(214) 555-0734","8301 Lomo Alto Dr, Dallas, TX 75225","https://summitroofingco.com","hello@summitroofingco.com","4.7","312","9","Roofers","Roofers","Dallas, TX"
"Eagle Eye Roofing","(972) 555-0856","1402 Main St, Dallas, TX 75202","https://eagleeyeroofing.com","quotes@eagleeyeroofing.com","4.4","67","4","Roofers","Roofers","Dallas, TX"
"Budget Roofers Dallas","(214) 555-0978","5522 Lemmon Ave, Dallas, TX 75209","","","3.1","12","2","Roofers","Roofers","Dallas, TX"
"Green Thumb Landscaping","(214) 555-1023","11205 Inwood Rd, Dallas, TX 75229","https://greenthumbdallas.com","bookings@greenthumbdallas.com","4.9","189","8","Landscapers","Landscapers","Dallas, TX"
"Premier Lawn Care","(972) 555-1147","3800 McKinney Ave, Dallas, TX 75204","https://premierlawncare-dallas.com","","4.6","54","5","Landscapers","Landscapers","Dallas, TX"
"Lone Star Landscapers","(469) 555-1268","7010 Skillman St, Dallas, TX 75231","","","3.8","22","3","Landscapers","Landscapers","Dallas, TX"
"Reliable Electric Dallas","(214) 555-1389","4400 Live Oak St, Dallas, TX 75204","https://reliableelectricdallas.com","info@reliableelectricdallas.com","4.8","143","7","Electricians","Electricians","Dallas, TX"
"Volt Masters Electrical","(972) 555-1412","1919 Greenville Ave, Dallas, TX 75206","https://voltmasters.net","service@voltmasters.net","4.3","36","3","Electricians","Electricians","Dallas, TX"
"Sparks Electric Co.","(469) 555-1534","612 N Bishop Ave, Dallas, TX 75208","","","2.5","4","1","Electricians","Electricians","Dallas, TX"
"FreshCoat Painters DFW","(214) 555-1656","2801 Swiss Ave, Dallas, TX 75204","https://freshcoatdfw.com","quotes@freshcoatdfw.com","4.7","98","6","Painters","Painters","Dallas, TX"
"Dallas Pro Painters","(972) 555-1778","5959 Royal Ln, Dallas, TX 75230","https://dallaspropainters.com","","4.1","29","2","Painters","Painters","Dallas, TX"
"BugBusters Pest Control","(214) 555-1891","3001 Knox St, Dallas, TX 75205","https://bugbustersdallas.com","info@bugbustersdallas.com","4.6","211","10","Pest Control","Pest Control","Dallas, TX"
"SafeGuard Exterminators","(972) 555-1923","7800 Inwood Rd, Dallas, TX 75209","https://safeguarddallas.net","contact@safeguarddallas.net","4.4","77","5","Pest Control","Pest Control","Dallas, TX"
"North Texas Pest Pros","(469) 555-2045","10011 N Central Expy, Dallas, TX 75231","","","3.3","9","2","Pest Control","Pest Control","Dallas, TX"
